mean, std, layers, approx, hidden_dim, attn_heads_hidden, attn_heads_output, act
0.646,0.069,2,-1,256,6,4,tanh
0.645,0.056,3,2,256,6,6,relu
0.645,0.067,3,2,128,6,4,relu
0.645,0.061,3,-1,128,1,4,relu
0.643,0.047,3,2,128,4,1,relu
0.643,0.045,2,-1,256,4,6,LeakyRelu
0.64,0.093,3,-1,128,4,4,LeakyRelu
0.64,0.062,4,2,256,6,6,LeakyRelu
0.639,0.052,4,2,256,4,6,relu
0.639,0.058,2,-1,256,6,1,LeakyRelu
0.639,0.056,3,2,128,6,1,relu
0.639,0.046,3,2,256,6,1,tanh
0.638,0.02,2,-1,256,4,1,tanh
0.638,0.029,2,2,128,6,1,relu
0.638,0.057,2,2,256,4,6,LeakyRelu
0.636,0.08,3,-1,256,6,4,relu
0.636,0.05,3,2,128,4,1,LeakyRelu
0.636,0.016,3,-1,128,4,6,relu
0.635,0.035,4,2,256,4,1,relu
0.635,0.056,3,2,128,4,6,LeakyRelu
0.635,0.046,4,-1,128,6,4,LeakyRelu
0.635,0.036,3,-1,128,6,4,LeakyRelu
0.635,0.101,3,2,256,6,6,LeakyRelu
0.635,0.03,4,-1,128,6,1,relu
0.634,0.017,4,-1,256,4,4,relu
0.634,0.056,3,-1,256,6,4,LeakyRelu
0.632,0.058,4,-1,128,4,1,LeakyRelu
0.631,0.03,2,2,128,6,6,relu
0.63,0.059,4,-1,256,6,4,relu
0.63,0.044,2,-1,256,6,4,relu
0.63,0.03,2,2,128,4,4,relu
0.63,0.045,2,2,256,4,1,LeakyRelu
0.629,0.054,2,2,256,6,6,LeakyRelu
0.628,0.082,4,-1,128,4,4,relu
0.627,0.057,4,-1,128,4,1,relu
0.626,0.053,3,2,256,4,4,LeakyRelu
0.625,0.068,4,2,256,6,4,LeakyRelu
0.624,0.086,2,-1,128,6,6,LeakyRelu
0.624,0.027,3,2,256,6,1,LeakyRelu
0.624,0.06,4,2,128,4,1,LeakyRelu
0.623,0.059,4,-1,256,6,4,LeakyRelu
0.623,0.036,4,-1,256,4,1,relu
0.622,0.055,2,2,256,4,4,relu
0.618,0.055,2,2,256,6,4,tanh
0.616,0.061,3,-1,256,4,1,LeakyRelu
0.616,0.063,3,-1,128,6,6,relu
0.612,0.098,3,-1,256,4,6,relu
0.611,0.113,3,2,256,6,1,relu
0.611,0.025,4,-1,128,6,1,LeakyRelu
0.609,0.059,4,-1,256,6,1,LeakyRelu
0.605,0.041,4,-1,256,4,1,LeakyRelu
0.605,0.077,4,2,128,6,1,relu
0.605,0.061,4,2,256,4,1,LeakyRelu
0.604,0.045,4,-1,256,6,6,relu
0.599,0.053,3,-1,256,4,1,relu
0.595,0.033,3,-1,256,4,6,LeakyRelu
0.594,0.054,3,-1,256,6,1,LeakyRelu
0.592,0.071,3,2,256,4,1,relu
0.591,0.08,4,2,256,1,6,relu
0.591,0.055,4,-1,256,6,1,relu
0.589,0.068,3,-1,128,6,4,relu
0.589,0.066,4,-1,256,6,6,LeakyRelu
0.587,0.075,4,2,256,6,1,relu
0.587,0.043,4,2,256,6,4,relu
0.585,0.046,4,2,256,6,6,relu
0.579,0.082,4,2,256,6,1,LeakyRelu
0.577,0.026,3,2,256,4,1,LeakyRelu
0.572,0.057,3,-1,256,6,1,relu
0.555,0.053,3,2,256,6,4,LeakyRelu
